likeours	new_groups	Month	lat	lon	Temp Feb	Sal Feb	pH	Turbidity	Chl-Post Cal	ODO%	ODO	NOx	PO4	NH4	TDP	TDN	TP	TN	Si	TSS Final
FP1	Parramata River	February 	-33.82966466	151.0450192	26.63	12.26	7.82	14.1	41.2	153.8	11.51	276	41	21	97	816	142	1075	1586	13.4
FP2	Parramata River	February 	-33.81848649	151.0708733	25.23	18.48	8.33	15.2	32.8	158.9	11.78	5	34	21	90	521	149	858	434	22.9
FP3	Parramata River	February 	-33.83223602	151.0798957	25.35	21.46	8.55	7.5	15.1	178.2	12.95	3	17	15	44	329	73	476	43	9.5
FP4	Western-central Harbour	February 	-33.8544323	151.1231739	24.88	23.5	8.51	4.1	7.0	137.6	9.97	12	10	8	26	326	38	451	39	6.5
FP5	Western-central Harbour	February 	-33.86246712	151.1553607	24.66	27.88	8.33	2.2	3.9	133.5	9.47	6	5	4	21	208	31	284	30	4.7
FP6	Western-central Harbour	February 	-33.84417004	151.1731387	23.36	29.08	8.18	1.4	4.4	123.3	8.89	7	4	8	14	162	22	213	55	1.9
FLPR06	Parramata River	February 	-33.83094381	151.0999707	24.78	23.3	8.39	7.2	14.2	149.4	10.85	2	14	8	41	278	65	415	60	8.7
FLC1	Lane Cove	February 	-33.80012666	151.1555871	26.355	12.99	7.08	3.8	7.1	105.4	7.52	285	48	282	53	793	75	845	1131	4.7
FLC2	Lane Cove	February 	-33.80985542	151.1422761	27.59	20.54	8.42	8.1	50.1	228.3	16.05	14	17	13	65	394	94	624	632	11.6
FLC3	Lane Cove	February 	-33.82952912	151.146396	27.01	23.4	8.28	7.4	14.3	159.1	11.12	14	16	9	38	272	58	447	540	13.8
FLC4	Lane Cove	February 	-33.82259648	151.1518341	27.84	25.03	8.09	6	8.1	121.7	8.31	1	12	8	38	291	48	387	455	10.3
FLC5	Western-central Harbour	February 	-33.83000702	151.173128	25.54	25.5	8.24	2.2	4.3	132	9.34	2	5	6	20	203	30	269	328	2.9
FLC6	Western-central Harbour	February 	-33.83555939	151.1812941	25.05	26.85	8.1	2.3	5.0	127.4	9.03	1	6	5	22	219	30	308	295	4.5
FMH1	Middle Harbour	February 	-33.75397142	151.1957666	25.12	20.31	7.01	7.6	5.0	32.8	2.41	43	15	93	26	356	39	403	1148	11.1
FMH2	Middle Harbour	February 	-33.7771531	151.2079566	25.59	19.49	8.03	5.7	8.8	118.9	8.70	6	7	9	21	231	35	287	888	5.4
FMH3	Middle Harbour	February 	-33.79127015	151.2189727	26.41	21.49	8.12	7	18.2	137.8	9.83	1	20	7	49	300	59	404	751	13.2
FMH4	Middle Harbour	February 	-33.80551623	151.2221072	24.6	22.95	8.07	3.7	6.1	112.9	8.24	2	7	8	24	231	28	271	611	3.6
FMH5	Middle Harbour	February 	-33.81819776	151.2199925	23.9	23.13	7.7	1.9	4.0	86.1	6.36	275	15	107	28	571	33	635	1239	3.9
FMH6	Marine/Harbour Heads	February 	-33.82082142	151.2634341	23.13	31.56	8.01	0.9	3.5	105.4	7.52	2	4	4	13	139	15	189	347	3.2
FPJ1	Eastern-central Harbour	February 	-33.83856944	151.1939217	22.72	29.74	8.13	1.4	4.5	116.7	8.48	7	3	28	13	209	18	242	78	2.0
FPJ2	Eastern-central Harbour	February 	-33.84465097	151.2078524	23.67	31.72	8.08	3.5	8.9	129.8	9.16	2	5	6	19	180	25	211	57	4.4
FPJ3	Eastern-central Harbour	February 	-33.87306276	151.189418	23.885	32.42	8.015	2.25	6.404299355	125.65	8.804048857	3	7	5	25	159	36	245	113	7.8
FPJ4	Eastern-central Harbour	February 	-33.8732817	151.231871	24.1	33.12	7.95	1	3.9	121.5	8.45	3	5	5	21	178	26	188	49	1.5
FPJ5	Eastern-central Harbour	February 	-33.84118559	151.2159732	25.12	32.8	8	1.4	6.1	123.5	8.45	5	10	7	27	227	32	240	115	2.0
FPJ6	Marine/Harbour Heads	February 	-33.79908216	151.268949	22.15	33.77	7.98	1.5	2.4	99.9	7.16	1	7	5	15	120	19	154	81	2.1
FPJ7	Marine/Harbour Heads	February 	-33.82678452	151.2844457	22.32	33.37	8.04	0.9	3.4	113.2	8.11	86	5	21	16	132	18	171	39	1.4
FPJ8	Eastern-central Harbour	February 	-33.86813745	151.19977296	23.9	30.82	8.13	2.5	8.8	133.9	9.47	1	6	5	26	173	34	272	37	9.7
SP1	Parramata River	September	-33.82966466	151.0450192	19.13	30.16	7.45	6.5	11.051664	79.2	7.18	79	34	84	50	417	81	485	703	6.3
SP2	Parramata River	September	-33.81848649	151.0708733	18.72	34.1	7.8	10.7	8.515894737	97.1	9.02	47	26	30	40	285	66	370	275	13.0
SP3	Parramata River	September	-33.83223602	151.0798957	18.83	34.01	7.81	9.4	9.218976	104.9	9.55	54	26	31	39	270	63	321	310	9.5
SP4	Western-central Harbour	September	-33.8544323	151.1231739	18.21	34.48	7.92	6	4.20525	99.6	9.35	6	18	4	30	160	44	198	177	6.7
SP5	Western-central Harbour	September	-33.86246712	151.1553607	17.84	34.9	7.97	7.9	3.802448276	98.6	9.27	19	15	3	24	144	44	213	172	8.9
SP6	Western-central Harbour	September	-33.84417004	151.1731387	17.61	35.11	8.02	1.5	1.643666368	100.9	9.52	27	13	5	20	161	26	166	83	0.9
SLPR06	Parramata River	September	-33.83094381	151.0999707	18.48	34.37	7.89	5.8	4.054128	97.3	9.05	17	22	16	32	197	45	226	201	1.6
SLC1	Lane Cove	September	-33.80012666	151.1555871	19.08	29.06	7.31	1.2	4.272	76.9	6.99	72	18	38	36	379	47	430	363	1.7
