Sample ID,Allo [mg/m3],Alpha Beta Car [mg/m3],Ammonium [μmol/l],Anth [mg/m3],Asta [mg/m3],Average Host Abundance [%],Beta Beta Car [mg/m3],Bleaching [%],Bottom Depth,But Fuco [mg/m3],Cantha [mg/m3],Chlf Ctd,Chlorophyll A [μg/l],Coastal,Conductivity Sm [s/m],Cphl A [mg/m3],Cphl B [mg/m3],Cphl C1 [mg/m3],Cphl C2 [mg/m3],Cphl C3 [mg/m3],Cphlide A [mg/m3],Date Sampled,"Density Ctd [density, kg/m^3]",Depth [m],Diadchr [mg/m3],Diadino [mg/m3],Diato [mg/m3],Dino [mg/m3],Dv Cphl A [mg/m3],Dv Cphl A And Cphl A [mg/m3],Dv Cphl B [mg/m3],Dv Cphl B And Cphl B [mg/m3],Echin [mg/m3],Environment,Fine Sediment [%],Fluorescence [au],Fouling [%],Fouling Organisms,Fuco [mg/m3],Geo Loc [country:subregion],Grazing [%],Grazing Number,Gyro [mg/m3],Hex Fuco [mg/m3],Host Abundance [individuals per m2],Host Abundance Seaweed [mean number ind per m2 +/- se],Host Species,Host State,Information,Inorganic Fraction [mg/l],Keto Hex Fuco [mg/m3],Latitude [decimal degrees],Length [cm],Longitude [decimal degrees],Lut [mg/m3],Lyco [mg/m3],Mg Dvp [mg/m3],Microbial Abundance [cells per ml],Ncbi Bioproject Accession,Ncbi Biosample Accession,Neo [mg/m3],Nitrate Nitrite [μmol/l],Nitrite [μmol/l],No2 [µmol/l],Notes,Npic [mg/l],Npoc [mg/l],Nrs Location Code Voyage Code,Nrs Sample Code,Nrs Trip Code,Organic Fraction [mg/l],Organism,Oxygen Ctd Pelagic [μmol/kg],Oxygen Lab [μmol/l],Pam Fluorometer [pam],Perid [mg/m3],Ph Level [h2o],Phide A [mg/m3],Phosphate [μmol/l],Phytin A [mg/m3],Phytin B [mg/m3],Pn [µmol/l],Poc [µmol/l],Pras [mg/m3],Pressure Bottle,Pyrophide A [mg/m3],Pyrophytin A [mg/m3],Salinity Ctd [psu],Salinity Lab [psu],Sample Site,Sample Type,Samplename Depth,Secchi Depth [m],Silicate [μmol/l],Sio2 [µmol/l],"Temperature [its-90, deg c]","Temperature Ctd [its-90, deg c]",Time Sampled,Total Alkalinity [μmol/kg],Total Carbon [%],Total Co2 [μmol/kg],Total Nitrogen [%],Touching Organisms,Transmittance [%],Tss [mg/l],Turbidity Ctd [nephelometric turbidity units],Viola [mg/m3],Zea [mg/m3]
102.100.100/21644,0.014,0.014,0.06,0.002,0.0,,,,89.0,0.036,0.0,,,,,0.419,0.081,0.0,0.055,0.036,0.009,2013-08-07,1026.6661,0.0,0.0,0.016,0.0,0.0,0.0,0.419,0.0,0.081,0.0,Marine,,,,,0.056,Australia:Maria Island NRS,,,0.0,0.064,,,,,,0.35,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483520,0.01,2.0,,,(null),,,MAI,NRSMAI20130807_000,NRSMAI20130807,0.35,marine metagenome,200.9803,260.0,,0.008,,0.0,0.24,0.0,0.0,,,0.026,2.016,0.0,0.0,35.4174,35.42,Maria Island,Pelagic_Public,102.100.100/21644_0,18.0,0.7,,,13.2844,(null),2336.69,,2096.14,,,,0.65,0.319,0.008,0.006
102.100.100/21645,0.01,0.013,0.01,0.0,0.0,,,,89.0,0.038,0.0,,,,,0.442,0.072,0.005,0.063,0.053,0.0,2013-08-21,1026.677,0.0,0.0,0.02,0.0,0.0,0.0,0.442,0.0,0.072,0.0,Marine,,,,,0.079,Australia:Maria Island NRS,,,0.0,0.07,,,,,,0.4,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483521,0.008,1.8,,,(null),,,MAI,NRSMAI20130821_000,NRSMAI20130821,0.25,marine metagenome,183.2473,259.2,,0.009,,0.0,0.2,0.0,0.0,,,0.019,2.016,0.0,0.0,35.4102,35.42,Maria Island,Pelagic_Public,102.100.100/21645_0,17.0,0.8,,,13.229,(null),2332.77,,2095.15,,,,0.65,0.2332,0.006,0.007
102.100.100/21646,0.038,0.027,0.0,0.008,0.0,,,,89.0,0.045,0.0,,,,,0.907,0.176,0.0,0.126,0.09,0.017,2013-09-24,1026.5616,0.0,0.0,0.051,0.007,0.0,0.0,0.907,0.0,0.176,0.0,Marine,,,,,0.101,Australia:Maria Island NRS,,,0.0,0.17,,,,,,0.35,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483522,0.019,2.9,,,(null),,,MAI,NRSMAI20130924_000,NRSMAI20130924,0.45,marine metagenome,268.8392,264.9,,0.017,,0.0,0.21,0.0,0.0,,,0.052,1.008,0.0,0.0,35.3188,35.31,Maria Island,Pelagic_Public,102.100.100/21646_0,14.0,1.1,,,13.3906,(null),2325.24,,2091.67,,,,0.7,0.2727,0.012,0.017
102.100.100/21647,0.024,0.021,0.09,0.004,,,,,90.0,0.007,0.0,,,,,0.542,0.144,0.0,0.069,0.022,0.011,2013-11-18,1026.3187,0.0,0.0,0.02,0.0,0.0,0.0,0.542,0.0,0.144,0.0,Marine,,,,,0.028,Australia:Maria Island NRS,,,0.0,0.058,,,,,,0.45,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483523,0.017,0.0,,,(null),,,MAI,NRSMAI20131117_000,NRSMAI20131117,0.35,marine metagenome,184.1764,270.3,,0.029,,0.0,0.21,0.0,0.0,,,0.047,1.067,0.0,0.0,35.2987,35.29,Maria Island,Pelagic_Public,102.100.100/21647_0,17.0,0.6,,,14.4947,(null),2329.03,,2080.25,,,,0.75,0.2939,0.018,0.006
102.100.100/21648,0.037,0.019,0.05,0.0,,,,,88.0,0.01,0.0,,,,,0.637,0.042,0.0,0.114,0.041,0.041,2013-12-17,1025.8929,0.0,0.0,0.034,0.004,0.0,0.0,0.637,0.0,0.042,0.0,Marine,,,,,0.098,Australia:Maria Island NRS,,,0.0,0.052,,,,,,0.55,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483524,0.006,0.0,,,(null),,,MAI,NRSMAI20131217_000,NRSMAI20131217,0.55,marine metagenome,157.9354,260.7,,0.072,,0.0,0.07,0.0,0.0,,,0.013,2.016,0.0,0.0,35.1626,35.17,Maria Island,Pelagic_Public,102.100.100/21648_0,16.0,0.2,,,15.8684,(null),2318.2,,2070.91,,,,1.1,0.2362,0.005,0.011
102.100.100/21649,0.01,0.024,0.1,0.0,,,,,,0.018,0.0,,,,,0.636,0.143,0.009,0.101,0.04,0.0,2014-02-05,,0.0,0.0,0.003,0.0,0.0,0.0,0.636,0.0,0.143,0.0,Marine,,,,,0.061,Australia:Maria Island NRS,,,0.0,0.056,,,,,,0.1,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483525,0.016,0.1,,,(null),,,MAI,NRSMAI20140205_000,NRSMAI20140205,0.45,marine metagenome,,254.1,,0.099,,0.0,0.13,0.0,0.0,,,0.04,,0.0,0.0,,35.29,Maria Island,Pelagic_Public,102.100.100/21649_0,17.0,0.5,,,,(null),2325.89,,2067.02,,,,0.5,,0.015,0.03
102.100.100/21650,0.08,0.046,0.04,0.006,0.009,,,,86.0,0.038,0.0,,,,,0.818,0.195,0.016,0.106,0.037,0.0,2014-03-19,1025.7618,0.0,0.0,0.017,0.004,0.0,0.033,0.851,0.0,0.195,0.0,Marine,,,,,0.036,Australia:Maria Island NRS,,,0.0,0.058,,,,,,0.1,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483526,0.023,0.0,,,(null),,,MAI,NRSMAI20140318_000,NRSMAI20140318,0.4,marine metagenome,243.9629,243.4,,0.007,,0.0,0.09,0.0,0.0,,,0.058,1.008,0.0,0.0,35.4347,35.43,Maria Island,Pelagic_Public,102.100.100/21650_0,14.0,0.7,,,17.3776,(null),2331.53,,2067.36,,,,0.45,0.1877,0.016,0.075
102.100.100/21651,0.017,0.029,0.04,0.003,0.004,,,,88.0,0.051,0.0,,,,,0.57,0.098,0.0,0.089,0.086,0.06,2014-04-08,1025.7737,0.0,0.0,0.031,0.0,0.0,0.045,0.615,0.0,0.098,0.0,Marine,,,,,0.073,Australia:Maria Island NRS,,,0.0,0.123,,,,,,0.3,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483527,0.011,0.5,,,(null),,,MAI,NRSMAI20140408_000,NRSMAI20140408,0.35,marine metagenome,240.9646,243.1,,0.012,,0.0,0.13,0.0,0.0,,,0.023,1.008,0.0,0.0,35.4888,35.48,Maria Island,Pelagic_Public,102.100.100/21651_0,15.0,0.6,,,17.4981,(null),2332.21,,2065.32,,,,0.6,0.2777,0.008,0.051
102.100.100/21652,0.04,0.024,0.06,0.0,0.0,,,,88.0,0.028,0.0,,,,,0.553,0.147,0.012,0.069,0.036,0.0,2014-05-16,1026.2421,0.0,0.0,0.012,0.0,0.0,0.008,0.561,0.0,0.147,0.0,Marine,,,,,0.031,Australia:Maria Island NRS,,,0.0,0.057,,,,,,0.3,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483528,0.016,2.8,,,(null),,,MAI,NRSMAI20140516_000,NRSMAI20140516,0.45,marine metagenome,240.9722,247.8,,0.012,,0.0,0.22,0.0,0.0,,,0.038,1.008,0.0,0.0,35.3457,35.36,Maria Island,Pelagic_Public,102.100.100/21652_0,13.0,0.8,,,15.0044,(null),2323.06,,2080.92,,,,0.7,0.6284,0.009,0.015
102.100.100/21653,0.014,0.015,0.02,0.0,,,,,88.0,0.028,0.0,,,,,0.0,0.115,0.0,0.047,0.025,,2014-06-19,1026.4948,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.115,0.0,Marine,,,,,0.029,Australia:Maria Island NRS,,,0.0,0.055,,,,,,0.2,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483529,0.011,3.0,,,(null),,,MAI,NRSMAI20140619_000,NRSMAI20140619,0.4,marine metagenome,249.919,254.7,,0.003,,0.0,0.31,0.0,0.0,,,0.03,2.016,0.0,0.0,35.3598,35.33,Maria Island,Pelagic_Public,102.100.100/21653_0,18.0,0.7,,,13.9045,(null),2324.7,,2099.74,,,,0.5,0.167,0.008,0.01
