FID,STATION_NAME,LOCAL_TRIP_START_TIME,date,time,IMOS_SITE_CODE,_TRIP_CODE,_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,REPLICATE,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML,PROCHLOROCOCCUS_FLAG,SYNECOCHOCCUS_FLAG,PICOEUKARYOTES_FLAG,SAMPLE_COMMENTS,geom
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29be,Darwin,2011-06-27T13:48:00Z,2011-06-27,13:48:00,DAR,DAR20110627,DAR20110627_PHYCYT_01,2011-06-27T04:18:00Z,-12.4,130.768,1,0,112172,2058,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29bf,Darwin,2011-06-27T13:48:00Z,2011-06-27,13:48:00,DAR,DAR20110627,DAR20110627_PHYCYT_02,2011-06-27T04:18:00Z,-12.4,130.768,2,0,112476,2489,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c0,Darwin,2011-10-05T09:31:00Z,2011-10-05,09:31:00,DAR,DAR20111005,DAR20111005_PHYCYT_01,2011-10-05T00:01:00Z,-12.4,130.768,1,0,111888,4673,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c1,Darwin,2011-10-05T09:31:00Z,2011-10-05,09:31:00,DAR,DAR20111005,DAR20111005_PHYCYT_02,2011-10-05T00:01:00Z,-12.4,130.768,2,0,123449,5061,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c2,Darwin,2012-01-15T07:00:00Z,2012-01-15,07:00:00,DAR,DAR20120114_21:30,DAR20120114_21:30_PHYCYT_01,2012-01-14T21:30:00Z,-12.4,130.768,1,0,58653,2157,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c3,Darwin,2012-01-15T07:00:00Z,2012-01-15,07:00:00,DAR,DAR20120114_21:30,DAR20120114_21:30_PHYCYT_02,2012-01-14T21:30:00Z,-12.4,130.768,2,0,54065,2142,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c4,Darwin,2012-01-15T09:05:00Z,2012-01-15,09:05:00,DAR,DAR20120114_23:35,DAR20120114_23:35_PHYCYT_01,2012-01-14T23:35:00Z,-12.4,130.768,1,0,101210,2279,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c5,Darwin,2012-01-15T09:05:00Z,2012-01-15,09:05:00,DAR,DAR20120114_23:35,DAR20120114_23:35_PHYCYT_02,2012-01-14T23:35:00Z,-12.4,130.768,2,0,112455,3000,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c6,Darwin,2012-01-15T13:05:00Z,2012-01-15,13:05:00,DAR,DAR20120115_03:35,DAR20120115_03:35_PHYCYT_01,2012-01-15T03:35:00Z,-12.4,130.768,1,0,91550,2132,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c7,Darwin,2012-01-15T13:05:00Z,2012-01-15,13:05:00,DAR,DAR20120115_03:35,DAR20120115_03:35_PHYCYT_02,2012-01-15T03:35:00Z,-12.4,130.768,2,0,88673,2877,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c8,Darwin,2012-01-15T15:10:00Z,2012-01-15,15:10:00,DAR,DAR20120115_05:40,DAR20120115_05:40_PHYCYT_01,2012-01-15T05:40:00Z,-12.4,130.768,1,NA,NA,NA,0,0,0,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29c9,Darwin,2012-01-15T15:10:00Z,2012-01-15,15:10:00,DAR,DAR20120115_05:40,DAR20120115_05:40_PHYCYT_02,2012-01-15T05:40:00Z,-12.4,130.768,2,NA,NA,NA,0,0,0,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29ca,Darwin,2012-04-17T09:42:00Z,2012-04-17,09:42:00,DAR,DAR20120417,DAR20120417_PHYCYT_01,2012-04-17T00:12:00Z,-12.4,130.768,1,20401.5,62391,788,1,2,2,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29cb,Darwin,2012-04-17T09:42:00Z,2012-04-17,09:42:00,DAR,DAR20120417,DAR20120417_PHYCYT_02,2012-04-17T00:12:00Z,-12.4,130.768,2,NA,NA,NA,4,4,4,possible bad preservation,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29cc,Darwin,2012-07-30T02:00:00Z,2012-07-30,02:00:00,DAR,DAR20120729_16:30,DAR20120729_16:30_PHYCYT_01,2012-07-29T16:30:00Z,-12.4,130.768,1,0,130284,4337,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29cd,Darwin,2012-07-30T02:00:00Z,2012-07-30,02:00:00,DAR,DAR20120729_16:30,DAR20120729_16:30_PHYCYT_02,2012-07-29T16:30:00Z,-12.4,130.768,2,0,142286,6647,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29ce,Darwin,2012-07-30T05:00:00Z,2012-07-30,05:00:00,DAR,DAR20120729_19:30,DAR20120729_19:30_PHYCYT_01,2012-07-29T19:30:00Z,-12.4,130.768,1,0,150182,7466,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29cf,Darwin,2012-07-30T05:00:00Z,2012-07-30,05:00:00,DAR,DAR20120729_19:30,DAR20120729_19:30_PHYCYT_02,2012-07-29T19:30:00Z,-12.4,130.768,2,0,152649,7886,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d0,Darwin,2012-07-30T08:00:00Z,2012-07-30,08:00:00,DAR,DAR20120729_22:30,DAR20120729_22:30_PHYCYT_01,2012-07-29T22:30:00Z,-12.4,130.768,1,0,126998,5135,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d1,Darwin,2012-07-30T08:00:00Z,2012-07-30,08:00:00,DAR,DAR20120729_22:30,DAR20120729_22:30_PHYCYT_02,2012-07-29T22:30:00Z,-12.4,130.768,2,0,139965,6069,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d2,Darwin,2012-07-30T11:00:00Z,2012-07-30,11:00:00,DAR,DAR20120730_01:30,DAR20120730_01:30_PHYCYT_01,2012-07-30T01:30:00Z,-12.4,130.768,1,0,129119,4438,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d3,Darwin,2012-07-30T11:00:00Z,2012-07-30,11:00:00,DAR,DAR20120730_01:30,DAR20120730_01:30_PHYCYT_02,2012-07-30T01:30:00Z,-12.4,130.768,2,0,136112,5534,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d4,Darwin,2012-10-30T07:51:00Z,2012-10-30,07:51:00,DAR,DAR20121029,DAR20121029_PHYCYT_01,2012-10-29T22:21:00Z,-12.4,130.768,1,0,45633,1113,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d5,Darwin,2012-10-30T07:51:00Z,2012-10-30,07:51:00,DAR,DAR20121029,DAR20121029_PHYCYT_02,2012-10-29T22:21:00Z,-12.4,130.768,2,0,51743,2342,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d6,Darwin,2012-12-09T02:00:00Z,2012-12-09,02:00:00,DAR,DAR20121208_16:30,DAR20121208_16:30_PHYCYT_01,2012-12-08T16:30:00Z,-12.4,130.768,1,0,81554,2730,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d7,Darwin,2012-12-09T02:00:00Z,2012-12-09,02:00:00,DAR,DAR20121208_16:30,DAR20121208_16:30_PHYCYT_02,2012-12-08T16:30:00Z,-12.4,130.768,2,0,78047,2499,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d8,Darwin,2012-12-09T05:30:00Z,2012-12-09,05:30:00,DAR,DAR20121208_20:00,DAR20121208_20:00_PHYCYT_01,2012-12-08T20:00:00Z,-12.4,130.768,1,0,73983,3570,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29d9,Darwin,2012-12-09T05:30:00Z,2012-12-09,05:30:00,DAR,DAR20121208_20:00,DAR20121208_20:00_PHYCYT_02,2012-12-08T20:00:00Z,-12.4,130.768,2,0,90342,4137,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29da,Darwin,2012-12-09T09:00:00Z,2012-12-09,09:00:00,DAR,DAR20121208_23:30,DAR20121208_23:30_PHYCYT_01,2012-12-08T23:30:00Z,-12.4,130.768,1,0,137603,4410,6,1,1,NA,POINT (130.76805 -12.4)
anmn_nrs_bgc_picoplankton_data.fid-40a113da_16edb54a6f3_29db,Darwin,2012-12-09T09:00:00Z,2012-12-09,09:00:00,DAR,DAR20121208_23:30,DAR20121208_23:30_PHYCYT_02,2012-12-08T23:30:00Z,-12.4,130.768,2,0,133445,4452,6,1,1,NA,POINT (130.76805 -12.4)
